,statistic,p-value,test,mean_first,std_first,mean_second,std_second,better
Accuracy,12.0,0.130859375,Wilcoxon,0.9156291024900595,0.04576060954003434,0.9108522071661467,0.05382223464435741,No significant difference
Precision,1.622185281029723,0.1392130254456443,t-test,0.6289184135873715,0.2434363858523832,0.5924193099837527,0.23017048067036924,No significant difference
Recall,-4.640796827217481,0.001217887278733213,t-test,0.3184121245287437,0.20656464918065254,0.3685383292998397,0.19137558426602022,KNNVariant
F1 Score,-2.569872334504834,0.030194119156073052,t-test,0.4075548951938508,0.2253120789703933,0.4449470734477711,0.20670063991136572,KNNVariant
