,statistic,p-value,test,mean_first,std_first,mean_second,std_second,better
Accuracy,7.0,0.037109375,Wilcoxon,0.9156291024900595,0.04576060954003434,0.9092578502014794,0.05568684890729283,KNNClassifier
Precision,2.1329856260068074,0.0617212001946161,t-test,0.6289184135873715,0.2434363858523832,0.5856912617410679,0.22692821220820605,No significant difference
Recall,-4.492025691019472,0.0015061223445181537,t-test,0.3184121245287437,0.20656464918065254,0.3766845698745052,0.18641701528042778,KNNVariant
F1 Score,-2.645438991809819,0.02667488183162178,t-test,0.4075548951938508,0.2253120789703933,0.44826472509709303,0.20174708672578223,KNNVariant
